Kanji,On_Reading,Kun_Reading,Meaning,Examples,Components,Koohii_Story_1,Koohii_Story_2,Seen,Update_Date
法,ハッ/ホウ/ホッ,,law; rule; method; model; principle,作法 (さほう) manners; etiquette<br>憲法 (けんぽう) constitution<br>方法 (ほうほう) method; way; process<br>文法 (ぶんぽう) grammar<br>法律 (ほうりつ) law,水: water 去: gone; past; quit; leave; elapse; eliminate; divorce,This kanji shows up in a lot of words related to the legal process. Try this image: using a very outdated judicial method/ the people of Salem dunked accused witches in the water until they were all gone.,There already was a system (#418) for butchering cows/ a technique (#421) for turning smoke into flowers - why can´t there be a method of about the same relevance for making water gone? Evaporation anyone?,,
活,カツ,,lively; living; be helped,活動 (かつどう) activity<br>活気 (かっき) energy; liveliness<br>活用 (かつよう) practical use; application<br>生活 (せいかつ) life (one's daily existence); livelihood,水: water 舌: tongue; reed; clapper,Conversations can become more lively after everyone has had a few drinks. It´s because 'watery tongues' loosen lips!,I´m sure I can get her pretty lively and wet using my tongue.,,
流,リュウ/ル,なが・す/なが・れる,flow; current; unconfirmed,洗い流す (あらいながす) to rinse off<br>流れる (ながれる) to flow (liquid/ time/ etc.); to be washed away; to be broadcast; to circulate<br>流行 (りゅうこう) fashion; fad<br>流す (ながす) to drain; to pour; to wash away; to broadcast; to circulate<br>流れ (ながれ) current; flow | course of events,水: water 㐬: a cup with pendants; a pennant; wild; barren; uncultivated,INFANT Moses placed in the WATER and sent down the current of the STREAM.,A water-breathing infant (genetically modified?) is caught in a flood/ and drifts with the current/ apparently enjoying himself in the process.,,
消,ショウ,き・える/け・す,extinguish; cancel; neutralize; turn off,消費 (しょうひ) consumption; expenditure<br>消防 (しょうぼう) fire fighting<br>消しゴム (けしごむ) eraser<br>消える (きえる) to go out; to disappear<br>消す (けす) to erase; to delete | to turn off power,水: water 肖: resemblance,To extinguish a SPARK/ you need WATER.,You need a few drops of water to extinguish the candle.,,
港,コウ,みなと,harbor,空港 (くうこう) airport<br>港 (みなと) harbor; port,水: water 巷: fork in road; scene; arena; theater,During a deluge/ all the poor snakes get washed into the harbour.,All throughout the deluge Noah had been kicking himself for forgetting to bring any snakes onto the Ark. It wasn´t until the deluge had finished/ and Noah had brought the Ark safely back to the harbour that he realised that the snakes had been under the Ark all along.,,
満,マン,み・たす/み・ちる,satisfy; fullness,不満 (ふまん) dissatisfaction; discontent; displeasure<br>満ちる (みちる) to be full; to mature; to expire<br>満足 (まんぞく) satisfaction; contentment; sufficient<br>満開 (まんかい) full bloom,水: water 廿: twenty; 20,Add water THEN the flowers. With both the vase will be full.,I was thirsty so I gulped down the water. Then I realized I was also hungry. So I ate the flowers. Yes/ I am responsible for both the missing water and the missing flowers. Yes/ I´m afraid both. Am I still hungry or thirsty? Thank you for asking! How kind! But no/ I feel quite full now.,,
点,テン,,point; period; decimal point; speck; spot,欠点 (けってん) defect; flaw; weak point<br>要点 (ようてん) gist; main point<br>交差点 (こうさてん) crossing; intersection<br>点 (てん) spot; mark | score; points | number of points,占: fortune-telling; divining; forecasting; occupy; hold; have; get; take 火: fire,The FORTUNE TELLER was burned by FLAMES on the spot because she was accused of being a witch.,You have to stimulate the G-spot with your magic wand in order to get her on fire. Or you can juste use your mouth...,,
熱,ネツ,あつ・い,fever; heat; mania; passion,熱中 (ねっちゅう) enthusiasm; mania<br>熱帯 (ねったい) tropics<br>熱心 (ねっしん) zeal; enthusiasm<br>熱い (あつい) hot (thing) | passionate (feelings/ etc.); ardent<br>熱 (ねつ) heat; fever; passion,埶: art 火: fire,Heat up those RICE SEEDLINGS you pulled from the SOIL in a ROUND pan over a low FLAME. (Note: the hot pan image helps reinforce the idea that this kanji for 'atsui' refers to something hot to the touch/ as opposed to hot weather).,Just a comment on Erikkusan's story: Although one of the pronunciations of this kanji is 'atsui' this isn't the atsui that you feel in Tokyo in August/ (which is Frame 1260's 'sultry' 暑). This atsui is the one when you touch something hot/ like a fry pan. Another reading of this is 'netsu/' which is the 'fever' this fat man may feel after planting the rice seedlings.,,
球,キュウ,たま,ball; sphere,地球 (ちきゅう) the earth; the globe<br>地球上 (ちきゅうじょう) on the earth<br>球 (きゅう) sphere; (baseball) counter for balls,玉: jewel; ball 求: request; want; wish for; require; demand,Someone files a request to see the family jewels and/ to their surprise/ you show them your balls!,The KING REQUESTS your presence at the ball ... game.,,
由,ユ/ユイ/ユウ,よし,reason,不自由 (ふじゆう) disability; impairment (physical/ mental/ etc.)<br>経由 (けいゆ) through; by way of; via<br>理由 (りゆう) reason; motive<br>自由 (じゆう) freedom,田: rice field; rice paddy 丨: number one; line; rod radical (no. 2),Wherefore art thou/ Sprouteo? (Juliet has fallen in love with a brussel sprout) (OR: A brussel sprout has fallen from Juliet´s dinner plate and rolled off).,Cogito ergo sum. Wherefore is a bad choice here for two reasons. For one/ it´s often mistranslated as 'where' when in fact it´s an urge to know a cause or reason; and two/ because this kanji represents the reason/ not the urge. [A thought sprouts from my brain. I think/ therefore I am.].,,
申,シン,もう・す,to say; to explain,申し訳 (もうしわけ) apology; excuse<br>申し込む (もうしこむ) to apply for<br>申し上げる (もうしあげる) (hum) to say; to tell<br>申す (もうす) (hum) to say; to be called,田: rice field; rice paddy 丨: number one; line; rod radical (no. 2),I imagine thomeone who can not pronounth the 's' and speaketh like thith becauth they have a cane in their mouth.,I had persistent trouble confusing this one with 曰 sayeth (#578). The way I keep it sorted out is that this one is used in 'moshi moshi' when answering the phone/ similar to the way an American would say 'hello/ this is X speaking.'.,,
番,バン,,number in a series,順番 (じゅんばん) order; sequential order<br>番組 (ばんぐみ) program (e.g. TV)<br>一番 (いちばん) first | best; most<br>番号 (ばんごう) number<br>～番 (～ばん) number (in a series),釆: separate; divide; topped rice radical (no. 165) 田: rice field; rice paddy,The famers take it in turns to watch out for any animal tracks on their rice field.,They take turns alternating between wheat and rice in this field…,,
登,ト/トウ,のぼ・る,ascend; climb up,登山 (とざん) mountain climbing<br>登る (のぼる) to ascend; to climb,癶: dotted tent radical (no. 105) 豆: beans; pea; midget,When an American Indian warrior dies/ his body is placed on a TABLE inside a TEEPEE/ and a ritualistic ceremony is held to encourage his spirit to ASCEND to that big buffalo hunting ground in the sky.,When I was a kid I went out camping in a teepee. I ate beans for dinner/ and afterwards I produced so much gas that my teepee actually ascended in the air!,,
直,ジキ/チョク,ただ・ちに/なお・す/なお・る,frankness; honesty; repair; fix,取り直す (とりなおす) to re-obtain<br>正直 (しょうじき) honesty; frankness<br>直ちに (ただちに) at once; immediately<br>直に (じきに) in person; firsthand<br>直接 (ちょくせつ) direct,十: ten 目: eye; class; look; insight; experience; care; favor,If you get a needle in your eye that is hooked in there/ get to a hospital straightaway.,I caught a freaky creature with ten eyes on my fish hook/ so I threw it back straightaway.,,
相,ショウ/ソウ,,each other; together; mutual; minister of state; phase,相当 (そうとう) considerably; rather; quite<br>相手 (あいて) compaion; partner; other party<br>相続 (そうぞく) succession; inheritance<br>首相 (しゅしょう) Prime Minister; Chancellor<br>相談 (そうだん) consultation; discussion,木: tree; wood 目: eye; class; look; insight; experience; care; favor,The prime minister is having inter-course behind that tree! All you can see are his eyes poking out from the righthand-side of the tree.,ソウ/ショウ/あ INTER /MUTUAL /ASPECT /PHASE /MINISTER. 'Long ago/ before there were telephones/ people living far from one another would climb trees to eye each other´s aspects and inter-act for their mutual benefit. Those who did this best became government ministers/ with the top person (perhaps the one with the longest neck (首/ neck (#70)) becoming the prime minister 「首相 (しゅしょう)'.,,
石,コク/シャク/セキ,いし,stone,宝石 (ほうせき) gem; jewel<br>石油 (せきゆ) oil; petroleum<br>石炭 (せきたん) coal<br>石けん (せっけん) soap<br>石 (いし) stone; rock; gem,口: mouth,Indiana Jones jumps up and grabs the lip of cliff just in time to evade the huge STONE rolling out of the mouth of the cave!,There´s a VERY simple way to remember this/ in case the cliff thing isn´t working for you... Just see it as a stone [いし] being hammered by a miner searching for jewel stones [ほうせき] ;).,,
礼,ライ/レイ,,bow; salute; gratitude; ceremony,礼儀 (れいぎ) manners; etiquette<br>失礼 (しつれい) impolite; rude | excuse me; I'm leaving<br>お礼 (おれい) (pol) thanks; gratitude,示: show; indicate; point out; express; display 乙: the latter; duplicate; strange; witty; fishhook radical (no. 5),Indy/ my friend/ you must be very careful! If you approach the altar and do not give the proper salutation a large fishhook will rip you away.,You should fish hook (bend/bow) your body before an altar as a form of salutation to God/gods.,,
神,シン/ジン,かみ,god; soul,神様 (かみさま) god; deity<br>神経 (しんけい) nerve (medical)<br>精神 (せいしん) mind; soul; heart; spirit<br>神社 (じんじゃ) Shinto shrine,,,,,
科,カ,,department; section,教科書 (きょうかしょ) textbook; coursebook; schoolbook<br>科目 (かもく) (school) subject; curriculum<br>科学 (かがく) science,禾: 2-branch tree radical (no. 115) 斗: Big Dipper; 10 sho (vol); sake dipper; dots and cross radical (no. 68),The national DEPARTMENT of WHEATS and MEASURES. Get it? This one was hard until I came up with this.,Agriculture/astronomy departments...,,
種,シュ,たね,seed; species; class; variety,一種 (いっしゅ) species; kind<br>人種 (じんしゅ) race (of people)<br>種類 (しゅるい) type; kind; category<br>種 (たね) seed (e.g. of a plant),禾: 2-branch tree radical (no. 115) 重: heavy; heap up; pile up; nest of boxes; -fold,Our species has a wheat heavy diet...,This kanji also means 'Seed.' STORY: Scientists have developed a new SPECIES of WHEAT that has large HEAVY seeds. Now we can feed the world.,,
笑,ショウ,え・む/わら・う,laugh,微笑む (ほほえむ) to smile<br>笑顔 (えがお) smiling face; smile<br>笑い (わらい) laughter; smile<br>笑う (わらう) to laugh; to smile,竹: bamboo 夭: early death; calamity,When the people tried to build a tower of bamboo to reach the heavens/ the gods just laughed and laughed.,That Panda is in bamboo heaven! Just look at him laugh!,,
箱,,はこ,bin; box; case,箱 (はこ) box; case; chest,竹: bamboo 相: inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy,The best kind of BOX is made from BAMBOO sticks that are INTER-laced to make it air tight. Just picture such a box and you´ve mastered this kanji.,I think of a box made of inter-locking of bamboo strips.,,
米,ベイ/マイ,こめ,rice; metre; USA,米 (こめ) rice,米: rice/ rice radical (no. 119),Stroke order: I like to think of the first two strokes as “chop sticks” with which one eats the rice. The rest then is the “tree” meaning “plant” in this contexct. also: USA.,Two drops of rice in a tree/ simple.,,
約,ヤク,,approximately; promise,契約 (けいやく) contract<br>婚約 (こんやく) engagement; betrothal<br>節約 (せつやく) economising; saving<br>予約 (よやく) reservation; appointment<br>約束 (やくそく) promise; agreement,糸: thread 勺: ladle; one tenth of a go; dip,He tied a thread around the ladle as a reminder of his promise to do more house work.,Spiderman promised to get Aunt Mae´s ladle back. He started to do a blood oath by spilling drops of blood but Aunt Mae stopped him and bound up the wound. 'It´s only a ladle Peter'.,,
組,ソ,くみ/く・む,assemble; cooperate; unite; braid,組合 (くみあい) association; union<br>組織 (そしき) organization; structure<br>番組 (ばんぐみ) program (e.g. TV)<br>組 (くみ) group; class (of students)<br>組む (くむ) to cross (legs or arms); to put together; to assemble,糸: thread 且: moreover; also; furthermore,A common thread associates the knick-knacks on your knick-knack shelf. Souveneirs from Spain on one/ from Japan on the other.,Watch this: http://i146.photobucket.com/albums/r249/sith_lord10/updated%20showroom%20july/s29.jpg The leader of the Spiderman association has tons of Spiderman figurines lined up on his shelf.(Zactacular).,,
絵,エ/カイ,,drawing; painting; picture,絵画 (かいが) painting<br>絵 (え) picture; drawing; painting,糸: thread 会: meeting; meet; party; association; interview; join,There´s never a picture of Spiderman meeting Peter Parker... I wonder why?,When all the Threads finally Meet the Picture will emerge...,,
続,ゾク,つづ・く/つづ・ける,continue; sequel; series,相続 (そうぞく) succession; inheritance<br>続き (つづき) continuation; succession<br>連続 (れんぞく) occurring in succession; continuing<br>続く (つづく) to continue<br>続ける (つづける) to continue,糸: thread 売: sell,If you attach strings to the things you sell/ you will be able to continue making profit from them even after the fact.,Even though Peter Parker has become Spiderman/ he continues to sell pictures that he takes as a photographer.,,
美,ビ,うつく・しい,beautiful; beauty,美人 (びじん) beautiful woman<br>美容院 (びよういん) beauty salon<br>美しい (うつくしい) beautiful; lovely<br>美術館 (びじゅつかん) art museum<br>美味しい (おいしい) delicious; tasty,羊: sheep 大: large; big,I guess this kanji proves it´s not just the Welsh whose idea of beauty is a large sheep.,A Sheep on top of a dog is NOT a beautiful thing.,,
育,イク,そだ・つ/そだ・てる/はぐく・む,raise; rear; grow up,体育 (たいいく) physical education<br>子育て (こそだて) raising a child<br>育つ (そだつ) to be raised; to be brought up<br>教育 (きょういく) education; schooling; training<br>育てる (そだてる) to raise; to rear,亠: kettle lid radical (no. 8) 厶: I; myself; katakana mu radical (no. 28) 月: month; moon,Bringing up your offspring means raising them from infant until they are meat ready to be harvested. What/ cannibalism is in poor taste? Forget I ever brought it up. But bring up will forver be infant meat to me. I want my baby back baby back baby back ribs!,I will bring up my infants to eat meat. I´ll not endure any vegetarian children in my house!,,
船,セン,ふね,boat; ship,船 (ふね) ship; boat,舟: boat; ship 㕣: a marsh at the foot of the hills; name of a river,A boy floats his toy boat in a gully and imagines it as an immense ship.,Aargh/ hard to keep this separate from boat. How about this: the phrase 'shape up or ship out!' This phrase originally meant that a soldier had better get his act together/ or else face being shipped off into a combat zone. Here we see a poor WW-I soldier who has been shipped off to a combat zone. He´s riding in the boat overseas to fight in the trenches (gulley).,,
苦,ク,くる・しい/くる・しむ/くる・しめる/にが・い/にが・る,hardship; suffering; bitterness,苦しい (くるしい) difficult; agonizing; painful<br>苦しむ (くるしむ) to suffer<br>苦労 (くろう) hardship; labour; toil<br>苦手 (にがて) poor (at); weak (in); dislike (of)<br>苦痛 (くつう) pain; agony,艸: grass; plants; grass radical (no. 140) 古: old,Flowers for the old man suffering in the hospital.,The derivates from opium poppies such as morphine can be used to tame the suffering of the old.,,
葉,ヨウ,は,leaf; plant; paper; time; period,葉書 (はがき) postcard<br>言葉 (ことば) word; phrase<br>葉 (は) leaf; blade (of grass),艸: grass; plants; grass radical (no. 140) 世: generation; world; society; public 木: tree; wood,On top of the leaves a flower appears/ promising new generations for the old tree below.,The flower generation spent far too much time up trees trying to smoke leaves.,,
表,ヒョウ,あらわ・す/あらわ・れる/おもて,chart; diagram; surface,代表 (だいひょう) representative<br>発表 (はっぴょう) announcement; publication; presenting<br>表れる (あらわれる) to appear; to become visible; to be expressed<br>表情 (ひょうじょう) facial expression<br>表面 (ひょうめん) surface; exterior,二: two; two radical (no.2) 丨: number one; line; rod radical (no. 2) 衣: garment; clothes; dressing,When I was GROWING UP/ the SURFACE of my SCARF was always covered with snot from blowing my nose on it.,(Thanks to zerOrange) I grew up underground/ and whenever I went to the surface I wore a scarf to avoid scrutiny.,,
要,ヨウ,い・る/かなめ,essence; main point; need,不要 (ふよう) unnecessary<br>主要 (しゅよう) main; principal<br>要求 (ようきゅう) demand; request; requirement<br>重要 (じゅうよう) important; essential<br>必要 (ひつよう) necessary,襾: cover; place on top of; west radical variant (no. 146) 女: woman; female,(ヨウ) When Clint needs a woman/ he likes to be on top.,In some movie with the theme of the Old West/ the population of a town finds themselve in dire need of women/ after all of the town´s womens became crazy and started gunshooting and participating in duels and such.,,
観,カン,,appearance; condition; view,観光 (かんこう) sightseeing<br>観光地 (かんこうち) tourist attraction<br>観光客 (かんこうきゃく) tourist<br>観客 (かんきゃく) spectator<br>観察 (かんさつ) observation,隹: bird; old bird radical (no. 172) 見: see; hopes; chances; idea; opinion; look at; visible,Microsoft Outlook works about as well as a pegasus that can´t see: they both crash all the time.,I used to hate birds.They´re loud/ stupid and worst of all they shit on your head. Used to think birds were the most vile creatures on earth. Then I encountered a pegasus. I was just walking down the road/ minding my own business when I happened to look up. I saw it there/ braying noisily/ ivory wings outstretched like an angel/ back leg raised ever so slightly. It dropped a steaming brown load right on my face. It changed my outlook completely. Birds are the second most vile creatures on earth.,,
記,キ,しる・す,mark; sign; to note; to scribe,上記 (じょうき) the above (text)<br>記事 (きじ) article; news story<br>記入 (きにゅう) entry; filling in; filling out<br>記録 (きろく) record; document<br>日記 (にっき) diary; journal,言: say 己: self; snake; serpent,A scribe writes down the words spoken by a snake (i.e. a lawyer).,Snakes have no hands. So/ when a snake needs to write down something/ it has to call in a SCRIBE/ who will write down all the sayings of the snake.,,
調,チョウ,しら・べる/ととの・う/ととの・える,prepare; arrange; investigate; move; transfer; tribute; tone; note,体調 (たいちょう) physical condition; state of health<br>強調 (きょうちょう) emphasis; highlight<br>調子 (ちょうし) tone; pitch; mood; manner<br>調査 (ちょうさ) survey<br>調べる (しらべる) to investigate; to look up,言: say 周: circumference; circuit; lap,To tune an old-fashioned radio/ you turn the dial the full range of the circumference/ until you can clearly hear what´s being said.,words + circumference The most catchy tunes are words the go round and round the circuference of your head and you can´t get it out of your mind.,,
談,ダン,,discuss; talk,冗談 (じょうだん) joke<br>相談 (そうだん) consultation; discussion,言: say 炎: inflammation; flame; blaze,Think of an online discussion group where misunderstanding someone´s words leads to flaming. An angry discussion = inflamed words.,Internet discussions often involve inflammatory words. Flame war!,,
議,ギ,,consideration; debate; deliberation,不思議 (ふしぎ) wonder; miracle; strange<br>議会 (ぎかい) congress; legislative assembly<br>議員 (ぎいん) member of the Diet<br>議論 (ぎろん) argument; discussion<br>会議室 (かいぎしつ) conference room,言: say 義: righteousness; justice; morality; honor; loyalty; meaning,Careful deliberation produces words of righteousness.,At the worst of times/ a jury´s deliberation descends into a war of words between competing self-righteous/ power-tripping bastards.,,
負,フ,お・う/ま・かす/ま・ける,minus; negative; bear; defeat,負け (まけ) defeat; loss<br>負ける (まける) to lose; to be defeated,勹: wrapping enclosure; wrapping radical (no. 20) 貝: shellfish,Tied up/ the shellfish had to accept defeat!,Defeat is defined by a shellfish in binds.,,
費,ヒ,つい・える/つい・やす,spend; waste; expense; cost,学費 (がくひ) tuition; school expenses<br>消費 (しょうひ) consumption; expenditure<br>費用 (ひよう) cost; expense,弗: dollar 貝: shellfish,An expense is an expense/ whether you put it in dollars or in local money.,A dollar sign next to an amount of money denotes an expense.,,
路,ロ,,road; path,道路 (どうろ) road; highway,足: leg; foot; be sufficient; counter for pairs of footwear 各: each; every; either,When pirates try to hide/ it´s always easy to find them. Their wooden legs leave distinctive prints/ showing where each is hiding and the exact path he took.,I have a wooden leg for each type of path. One with a rubber stopper at the end for absorbing shocks on paved paths/ and one with a wide foot to distribute weight better on mud paths.,,
辞,ジ,や・める,resign; word; phrase; blame,辞める (やめる) to resign; to leave (one's job/ etc.)<br>辞典 (じてん) dictionary<br>辞書 (じしょ) dictionary,舌: tongue; reed; clapper 辛: spicy; bitter; hot; acrid,This guy´s job is tasting the spicy curry at the local Indian Food Factory. He has to resign from his job before his tongue is rendered completely useless after all the spicy food that he has to try all day long...,After my tongue touched the most spicy pepper of all/ I had to resign from the contest...too hot for me!,,
返,ヘン,かえ・す/かえ・る,return; answer,繰り返す (くりかえす) to repeat<br>返却 (へんきゃく) return; repayment<br>返事 (へんじ) reply; response<br>返す (かえす) to return (something),反: anti- 辶: walk; walking; road radical variant (no. 162),Pretty obvious: to return is to turn back on the road you´re on and go the opposite way.,In 'The Return of the anti-hero'/ Clint Eastwood kicks the villain in the crotch/ pushes them off the cliff and onto a busy highway. A tiring movie franchise to say the least....,,
速,ソク,すみ・やか/はや・い/はや・める,fast; quick,急速 (きゅうそく) rapid (e.g. progress)<br>速度 (そくど) speed; velocity<br>高速 (こうそく) high speed<br>速い (はやい) fast; quick,束: bundle; sheaf; ream; tie in bundles; govern; manage; control 辶: walk; walking; road radical variant (no. 162),Jack be nimble/ Jack be quick/ Jack jump over the bundled sticks in the middle of the road. (dingomick).,Uh oh. The stork just dropped the bundle of joy in the middle of the road. Somebody save it/ quick!,,
連,レン,つら・なる/つら・ねる/つ・れる,connect; join; continue,連想 (れんそう) association (of ideas)<br>連続 (れんぞく) occurring in succession; continuing<br>関連 (かんれん) relation; connection<br>連れる (つれる) to bring along; to go with; to accompany<br>連絡 (れんらく) to contact; to get in touch,車: car 辶: walk; walking; road radical variant (no. 162),When you put your car on the road you should always take along a few friends. Don´t confuse with carry (#303).,This kanji also means 'linked' or 'series' so I´ve changed the kanji meaning to 'GO ALONG (WITH EACH OTHER).' Well/ a ROAD and a CAR certainly GO ALONG with each other. And the CAR will help you to GO ALONG the ROAD. This Kanji is the 'Union' in Soviet Union and the 'United' of United Nations (the countries that 'go along with each other' at least some of the time).,,
遊,ユ/ユウ,あそ・ぶ,play,遊び (あそび) playing<br>遊ぶ (あそぶ) to play; to have a good time,斿: to swim; to move freely; to rove 辶: walk; walking; road radical variant (no. 162),The BANNER warns that CHILDREN PLAY on the ROAD.,There is always a stupid banner talking about children at play near the road. They mean 'drive slowly'/ but it sounds like its slow(stupid) children that are at play.,,
選,セン,えら・ぶ,choose; select,スポーツ選手 (スポーツせんしゅ) athlete<br>選手 (せんしゅ) player; team member<br>選択 (せんたく) selection; choice<br>選ぶ (えらぶ) to choose,巽: southeast 辶: walk; walking; road radical variant (no. 162),Isn't this how the US presedential election works? You are given a choice between two snakes. Their politics are actually strung together but you get to feel as though you chose which one you want to lead you down the political road for the next four years. So which snake are you going to elect?,You´re driving on the road and you see two snakes together. You can´t avoid both/ so you have to elect which one gets run over.,,
部,ブ,,bureau; department; group; government office; bring together; govern,営業部 (えいぎょうぶ) sales department<br>大部分 (だいぶぶん) greater part; majority<br>部分 (ぶぶん) portion; section<br>部長 (ぶちょう) head of a department/ team/ or section<br>全部 (ぜんぶ) all; entire; whole<br>部屋 (へや) room,立: stand up; rise; set up; erect 口: mouth 邑: village; rural community; right village radical (no. 163),Within the city walls/ this section of town was so noisy that we had to muzzle them up.,The section within the city walls where dogs must be muzzled by law...,,
配,ハイ,くば・る,distribute,支配 (しはい) domination; control; direction; management<br>配送 (はいそう) delivery<br>配達 (はいたつ) delivery; distribution<br>心配 (しんぱい) worry; concern,酉: west; bird; sign of the bird; 5-7PM; tenth sign of Chinese zodiac; sake radical (no. 164) 己: self; snake; serpent,To DISTRIBUTE WHISKY during Prohibition you had to be as sneaky as a SNAKE.,I imagine a bartender serving whiskey to his patrons/ and using that snake-like sprayer to distribute soda water into each glass.,,
酒,シュ,さけ,alcohol; sake,酒 (さけ) alcohol; sake,水: water 酉: west; bird; sign of the bird; 5-7PM; tenth sign of Chinese zodiac; sake radical (no. 164),Sake is just watered down whisky.,Sake is the generic term for alcohol (not just japanese rice wine). And a very popular alcoholic drink in Japan is whiskey and water.,,
関,カン,かか・わる/せき,connection; gateway,人間関係 (にんげんかんけい) human relations<br>関心 (かんしん) interest; concern<br>関連 (かんれん) relation; connection<br>関係 (かんけい) relationship; connection<br>玄関 (げんかん) entranceway; front door,門: gate; counter for cannons 关: frontier pass; close; relation,At the airport/ the woolly mammoth was too big. When he tried to go through his flight's gate he got stuck and missed his connecting flight.,The wooly mammoth Smashes the gates down restoring the connection between the glacier and the low lands.,,
雪,セツ,ゆき,snow,雪 (ゆき) snow,雨: rain 彑: pig's head radical variant (no. 58),SNOW isn´t all that different from RAIN/ except it can be removed with a BROOM because it only forms in freezing temperatures.,Rain just soaks into the soil. Snow has to be swept away with a broom...,,
面,メン,おも/おもて/つら,face; mask; surface,場面 (ばめん) scene; setting (e.g. of novel)<br>画面 (がめん) screen; picture<br>表面 (ひょうめん) surface; exterior<br>面倒 (めんどう) trouble; bother<br>面（おもて） (おもて) face; front side<br>面（めん） (めん) face; mask<br>真面目 (まじめ) diligent; serious; honest<br>面白い (おもしろい) interesting; fascinating,面: face/ face radical (no. 176),If you´re wearing a mask/ a hundred eyes can look at you but none of them will know who you are.,When Jim Carrey puts on The Mask/ he can make it seem like he has 100 eyes popping out of his head.,,
願,ガン,ねが・う,hope; pray; wish,願い (ねがい) request; desire<br>願う (ねがう) to desire; to request,原: meadow; original; primitive; field; plain; prairie; tundra; wilderness 頁: page; leaf,Let´s petition to save that beautiful MEADOW from overdevelopment by signing on this PAGE.,Japanese hippies PETITION to save a meadow by getting people on the street to sign their page - as you pass by they call out: 'お願いします/おねがいします。”.,,
類,ルイ,たぐ・い,variety; class; kind,人類 (じんるい) mankind; humanity<br>書類 (しょるい) documents; official papers<br>種類 (しゅるい) type; kind; category,,,,,
飛,ヒ,と・ばす/と・ぶ,fly; skip (pages),飛び出す (とびだす) to jump out; to rush out<br>飛行 (ひこう) aviation; flying<br>飛行場 (ひこうじょう) airfield<br>飛ぶ (とぶ) to fly | to jump<br>飛行機 (ひこうき) airplane,升: measuring box; 1.8 liter,Hooks with small wings attached look like hummingbirds with a long beak. Two hummingbirds are trying to fly away with our little measuring box. What do they want it for?,Two hummingbirds flying into a measuring box serving as a bird feeder…,,
馬,バ,うま/ま,horse,馬 (うま) horse,火: fire,Turkey with the drops at the top removed and tail feathers added (this matches stroke order and there are the tail feathers already/ why not have the whole bird). If you take the two drops of 隹 as wings/ then horses are like turkeys/ but have no wings and have more prominent tail 'feathers'. Both are actually supposed to be pictographs/ though.,The top part is half a comb (see frame 1920) with an extra vertical stroke to account for a sturdier version used to comb a horse mane. As a primitive I used the theme of the Trojan Horse. Not the modern computer viruses/ but the large wooden horse which led to the demise of Troy and of the Trojans. Either its size (much greater than a live horse)/ or the fact that it conceals things into its belly/ will set it appart from the horse primitive that came in frame 568 ('noon').,,
鳴,メイ,な・く/な・らす/な・る,bark; chirp; cry; honk; ring,鳴き声 (なきごえ) animal cry; roar; chirp; tweet<br>鳴る (なる) to sound; to ring<br>鳴く (なく) to chirp; to bark,口: mouth 鳥: bird; chicken,A chirp is quite simply the sound that comes from the mouth of birds.,This kanji is not limited to the chirp of a bird/ but stands for the sound of any kind of animal. Picture a very weird bird that can imitate with its mouth (a bird with mouth/ heh) the voice of many different animals: Meeow! Woof! Mooo! Cuack!!! (Maybe the bird has Kirby powers and obtains the abilities of the animals it eats).,,
亡,ボウ/モウ,な・い,deceased; dying; perish,死亡 (しぼう) to die; to pass away<br>亡くなる (なくなる) to die; to pass away,亠: kettle lid radical (no. 8) 匚: box-on-side enclosure radical (no. 22),The top hat hanging on a hook belonged to the now deceased Charlie Chaplin.,The recently DECEASED are said to hang their hats on a hook by the door to the afterlife.,,
件,ケン,,item; matter,事件 (じけん) event; incident; case (usually negative)<br>条件 (じょうけん) condition; requirement; prerequisite,人: person 牛: cow,Note: this kanji refers to event or case. Current Affair headline: Mr. T has affair with cow. 'It´s only animal ´man´ enough for me'.,I´m having a hard time keep straight just which animal Mr. T is having an affair with. chamcham´s story made me realize that Mr. T is not having an 'affair'/ he´s having an 'heifair.' Get it?,,
例,レイ,たと・える,example; precedent,例 (れい) example<br>例年 (れいねん) ordinay year<br>例えば (たとえば) for example; for instance,人: person 列: file; row; rank; tier; column,Mr T shows the example to the kids/ and stays in the file (at supermarket/ ...). “I pity da foo who does not follow my example !”.,When Mr. T. wants to make an example out of a group of people/ he lines them up all single file and knocks them all out with one punch!,,
倍,バイ,,double; times,～倍 (～ばい) ～times; ～fold,人: person 立: stand up; rise; set up; erect 口: mouth,Mr. T keeps his double muzzled ... he wants all the glory.,Mr T/ like many holywood stars/ has a butt double who is used only for scenes where T´s buttocks are exposed (he has issues with bearing his behind). The butt double has no speaking parts - he is muzzled. Of course T himself isn´t he´s rambling on about pity and foo.,,
値,チ,あたい/ね,cost; price; value,価値 (かち) value; worth<br>値上がり (ねあがり) price increase<br>値上げ (ねあげ) price increase<br>値下げ (ねさげ) price decrease<br>値段 (ねだん) price; cost,人: person 直: straightaway; honesty; frankness; fix; repair,Mr. T (person) tells the used car salesman to tell him the real price straight away/ and when he doesn´t he throws him through the windshield.,Mr. T is shopping for new chains. He knows what he wants and money isn´t an issue. 'Cut the jibba-jabba/ tell me the price/ straightaway!'.,,
