Kanji,Reading,Meaning,Seen,Update_Date
丘,おか,hill,false,
平和,へいわ,peace; harmony,false,
幸運,こううん,good luck,false,
市場（しじょう）,しじょう,(the) market (as a concept),false,
収める,おさめる,to make an offering; to finish; to achieve (e.g. a result),false,
訓練,くんれん,training; drill,false,
会合,かいごう,assembly; gathering,false,
資本,しほん,funds; capital,false,
パイロット,パイロット,pilot,false,
プレゼン,プレゼン,presentation,false,
限界,げんかい,limit,false,
本気,ほんき,seriousness; earnestness,false,
支配,しはい,domination; control; direction; management,false,
維持,いじ,maintenance; preservation,true,2024-11-08
夢中,むちゅう,daze; engrossment; obsessed with; hooked on,false,
哲学,てつがく,philosophy,false,
人類,じんるい,mankind; humanity,false,
現実,げんじつ,reality; actuality,true,2024-11-13
党,とう,party (political); faction,false,
現場,げんば,actual spot; actual site; shop/factory floor,false,
一般的,いっぱんてき,common; general; for the masses,false,
食う,くう,to eat (casual or masculine),true,2024-11-09
議員,ぎいん,member of the Diet,false,
例年,れいねん,ordinay year,true,2024-11-12
材料,ざいりょう,ingredients; materials,false,
増す,ます,to increase; to grow,false,
再び,ふたたび,again; a second time,true,2024-11-11
受かる,うかる,to pass (examination),true,2024-11-09
質,しつ,quality; value,false,
交換,こうかん,exchange; substitution,true,2024-11-04
地下,ちか,basement; cellar,false,
輪,わ,ring; circle; loop,false,
鋭い,するどい,(physically) sharp; pointed; (mentally) sharp; perceptive,false,
生クリーム,なまクリーム,whipped cream,false,
直接,ちょくせつ,direct,false,
動詞,どうし,verb,false,
悪魔,あくま,devil; demon,false,
夫人,ふじん,(hon) wife; Mrs,true,2024-11-11
禁止,きんし,prohibition; ban,false,
ロケット,ロケット,rocket,false,
ユニフォーム,ユニフォーム,uniform,false,
グローバル,グローバル,global,false,
組む,くむ,to cross (legs or arms); to put together; to assemble,false,
友人,ゆうじん,friend,false,
学問,がくもん,scholarship; study; learning,false,
飽きる,あきる,to get tired of,false,
程（ほど）,ほど,degree; extent,false,
グラウンド,グラウンド,sports ground,false,
勘,かん,intuition,false,
地球,ちきゅう,the earth; the globe,false,
宝石,ほうせき,gem; jewel,false,
下す（おろす）,おろす,to lower,false,
約～,やく～,approximately ～; about ～,false,
伸ばす,のばす,to grow (e.g. hair/nails); to stretch; to reach out,false,
諦める,あきらめる,to give up,false,
家具,かぐ,furniture,false,
移す,うつす,to change; to substitute; to transfer,false,
スポーツクラブ,スポーツクラブ,sports club; sports gym,false,
見当,けんとう,estimate; guess,true,2024-11-14
沖,おき,open sea,false,
あんなに,あんなに,to that extent,true,2024-11-15
ピン,ピン,pin,false,
発達,はったつ,development; growth,false,
板,いた,board; plank,false,
向かい,むかい,facing; across the street,true,2024-11-09
～軒,～けん,counter for houses,false,
何でも,なんでも,anything,false,
言わば,いわば,so to speak; so to call it,false,
当時,とうじ,at that time; in those days,true,2024-11-14
不足,ふそく,insufficiency; lack; shortage,false,
魅力,みりょく,charm; attraction; appeal,false,
生,なま,raw; uncooked; fresh; natural,true,2024-11-18
撃つ,うつ,to shoot,false,
費用,ひよう,cost; expense,false,
スピーチ,スピーチ,speech,false,
方々,かたがた,(hon) they; you (plural people),false,
別れ,わかれ,parting; separation,false,
高価,こうか,high price,false,
賛成,さんせい,approval; agreement; support,true,2024-11-16
しゃべる,しゃべる,to talk; to chat,false,
許す,ゆるす,to permit; to allow; to forgive,false,
体育,たいいく,physical education,false,
当然,とうぜん,natural; of course,true,2024-11-14
指導,しどう,guidance; instruction,true,2024-11-18
どうしても,どうしても,at any cost; no matter what,false,
全く,まったく,entirely; completely,true,2024-11-06
警告,けいこく,warning; disclaimer,true,2024-11-11
粗末,そまつ,crude; rough; shabby,false,
朝寝坊,あさねぼう,oversleeping,true,2024-11-11
読み,よみ,reading,false,
苦しい,くるしい,difficult; agonizing; painful,false,
切れる,きれる,to be cut; to split,false,
進学,しんがく,going on to a higher-level school,false,
離婚,りこん,divorce,false,
最低,さいてい,least; lowest; worst,true,2024-11-19
家賃,やちん,rent,false,
就職,しゅうしょく,finding employment,false,
噂,うわさ,rumour; gossip,false,
得意,とくい,one's strong point; one's forte,false,
覚ます,さます,to awaken; to arouse from sleep,false,
いずれ,いずれ,anyway; anyhow | at some future date or time,false,
管理,かんり,control; management (e.g. of a business),false,
不便をかける,ふべんをかける,to cause inconvenience,false,
学習,がくしゅう,study; learning,false,
物語,ものがたり,tale; story,false,
位置,いち,place; position,true,2024-11-05
更に,さらに,furthermore; moreover,false,
家事,かじ,housework; chores,false,
いつでも,いつでも,any time; whenever,false,
予報,よほう,forecast; prediction,true,2024-11-04
実に,じつに,indeed; really; truly,true,2024-11-13
肌,はだ,skin,false,
トランプ,トランプ,playing cards,false,
発車,はっしゃ,departure; leaving,false,
嫌う,きらう,to hate; to dislike,false,
仲間,なかま,associate; comrade,false,
メリット,メリット,merit,false,
とにかく,とにかく,anyhow; at any rate,false,
トイレットペーパー,トイレットペーパー,toilet paper,false,
替える,かえる,to replace; to exchange; to substitute,false,
プロジェクター,プロジェクター,projector,false,
学ぶ,まなぶ,to study,false,
自身,じしん,(by) oneself,false,
減る,へる,to decrease (in size or number); to diminish,false,
拍手,はくしゅ,applause,false,
余り,あまり、あんまり,remainder; balance; left over,false,
陰,かげ,shade; shadow,false,
穏やか,おだやか,calm; quiet,false,
～途端,～とたん,just as; at the moment of,false,
縁,ふち,edge; rim,false,
奪う,うばう,to snatch away; to steal,false,
以来,いらい,henceforth,false,
死亡,しぼう,to die; to pass away,false,
腹,はら,stomach,false,
初心者,しょしんしゃ,beginner,true,2024-11-06
等しい,ひとしい,equal; similar,false,
請求,せいきゅう,billing (for a service); claim,false,
生まれ,うまれ,birth; birthplace,false,
女優,じょゆう,actress,false,
賢い,かしこい,clever; smart,false,
巣,す,nest; hive,false,
不満,ふまん,dissatisfaction; discontent; displeasure,false,
グルメ,グルメ,gourmet,false,
能力,のうりょく,ability; faculty,false,
解釈,かいしゃく,explanation; interpretation,false,
入金,にゅうきん,deposit; payment,false,
除く,のぞく,to remove; to eliminate; to exclude,false,
哀れ,あわれ,pity; sorrow,false,
直ちに,ただちに,at once; immediately,false,
皮,かわ,skin; hide; fur,false,
認める,みとめる,to recognize; to approve; to allow,false,
武器,ぶき,weapon; arms,false,
ハイキング,ハイキング,hiking,false,
汗,あせ,sweat; perspiration; condensation,false,
伺う,うかがう,(hum) to ask; to inquire | (hum) to visit,false,
優れる,すぐれる,to surpass; to excel,false,
スタンド,スタンド,stands; bleachers; stand (e.g. lemonade stand),true,2024-11-12
医師,いし,doctor,false,
潰す,つぶす,to smash; to crush,false,
声をかける,こえをかける,to call someone,false,
立ち上がる,たちあがる,to stand up; to get up; to take action,false,
旧～,きゅう～,ex-; former-; old-,false,
それでも,それでも,but (still); even so,false,
予測,よそく,estimation,true,2024-11-04
おしゃべり,おしゃべり,chattering; chitchat; gossip,false,
火災,かさい,conflagration; fire,false,
綿,めん,cotton,false,
～次第,～しだい,depending on ～; as soon as ～,false,
寝不足,ねぶそく,lack of sleep,false,
正式,せいしき,official; formality,true,2024-11-14
異常,いじょう,abnormality; strangeness,false,
ボート,ボート,boat,false,
応じる,おうじる,to satisfy; to accept; to comply with,false,
山ほど,やまほど,a lot; a great amount of,false,
粗い,あらい,coarse; rough,false,
入会,にゅうかい,becoming a member; joining a group,false,
マーケット,マーケット,market,false,
権利,けんり,right; privilege,true,2024-11-07
頂上,ちょうじょう,top; summit; peak,false,
再度,さいど,twice; again; second time,false,
年代,ねんだい,age; era,false,
文句,もんく,complaint,false,
一晩,ひとばん,one night; | all night,false,
凍る,こおる,to freeze,false,
新商品,しんしょうひん,new product,true,2024-11-11
理論,りろん,theory,false,
賞,しょう,prize; award,false,
疲れ,つかれ,tiredness; fatigue,false,
勤め,つとめ,service; business; responsibility,false,
残り,のこり,remaining; left-over,false,
誕生,たんじょう,birth; creation; formation,false,
選択,せんたく,selection; choice,false,
行儀,ぎょうぎ,manners; behavior,false,
夫婦,ふうふ,married couple; husband and wife,true,2024-11-11
値上げ,ねあげ,price increase,false,
急速,きゅうそく,rapid (e.g. progress),false,
信頼,しんらい,reliance; confidence,true,2024-11-05
混乱,こんらん,disorder; confusion,false,
共に,ともに,jointly; at the same time,false,
級,きゅう,class; grade; rank,false,
教授,きょうじゅ,professor,false,
決定,けってい,decision,true,2024-11-12
経営,けいえい,management; administration,false,
尊重,そんちょう,respect; regard,false,
グレー,グレー,grey,false,
ゴルフ,ゴルフ,golf,false,
利用者,りようしゃ,user; consumer,true,2024-11-07
教科書,きょうかしょ,textbook; coursebook; schoolbook,false,
うどん,うどん,udon; thick Japanese noodles,false,
およそ,およそ,about; roughly; approximately,false,
様々,さまざま,various,false,
思想,しそう,idea; ideology,true,2024-11-16
間違う,まちがう,to make a mistake; to be mistaken,false,
湾,わん,bay; gulf; inlet,false,
実験,じっけん,experiment,true,2024-11-13
ハンバーガー,ハンバーガー,hamburger (with bun),true,2024-11-15
経つ,たつ,to pass; to elapse,false,
命じる,めいじる,to order; to command,false,
記録,きろく,record; document,false,
本物,ほんもの,genuine article; real thing,false,
農民,のうみん,farmer,false,
契約,けいやく,contract,false,
詩,し,poem; verse,false,
地方,ちほう,district; region | countryside; rural area,false,
野,の,plain; field,true,2024-11-12
捕まる,つかまる,to be caught; to be arrested,false,
にっこり,にっこり,smile; grin,false,
出版,しゅっぱん,publication,false,
帰宅,きたく,returning home,false,
違いない,ちがいない,sure; for certain; no mistaking it,false,
睡眠,すいみん,sleep,true,2024-11-12
救助,きゅうじょ,relief; aid,true,2024-11-07
実行,じっこう,execution (e.g. of a plan),true,2024-11-13
アイロン,アイロン,iron (clothes); hair iron,false,
バイク,バイク,motorcycle,false,
悲しむ,かなしむ,to be sad,false,
評判,ひょうばん,reputation; popularity,false,
占める,しめる,to occupy; to hold; to comprise; to make up,false,
機能,きのう,function; feature,false,
エンジン,エンジン,engine,false,
真剣,しんけん,serious; earnest,false,
サイン,サイン,autograph; signature,false,
作法,さほう,manners; etiquette,false,
努力,どりょく,effort; exertion; hard work,true,2024-11-06
腰,こし,lower back,false,
送信,そうしん,transmission; sending,true,2024-11-05
握る,にぎる,to grasp; to grip,false,
容易,ようい,easy; simple; plain,false,
列,れつ,row; line; column,false,
重大,じゅうだい,serious; important,false,
裁判,さいばん,trial; judgement,false,
合計,ごうけい,total amount,false,
力を合わせる,ちからをあわせる,to combine efforts,false,
日常,にちじょう,ordinary; usual; regular,false,
笛,ふえ,flute; pipe,false,
成功,せいこう,success,true,2024-11-16
できれば,できれば,if at all possible,false,
降ろす,おろす,to take down; to lower; to unload,false,
稲,いね,rice plant,false,
鉄,てつ,iron (Fe),false,
花火,はなび,fireworks,false,
感謝,かんしゃ,thanks; gratitude,true,2024-11-16
独り,ひとり,one person; alone; solitary,false,
囲む,かこむ,to encircle; to enclose,false,
発展,はってん,development; growth; expansion,true,2024-11-18
ヨット,ヨット,yacht,false,
環境,かんきょう,environment,false,
真夏,まなつ,midsummer,false,
技師,ぎし,technician; engineer,false,
年末,ねんまつ,end of the year,false,
取り上げる,とりあげる,to pick up; to adopt; to accept | to confiscate,true,2024-11-09
真っ直ぐ,まっすぐ,straight ahead; direct; straight forward; honest,false,
人生,じんせい,life; one's lifetime,false,
絶対,ぜったい,absolutely; unconditionally,true,2024-11-13
報告,ほうこく,report; information,true,2024-11-11
にんじん,にんじん,carrot,false,
繋ぐ,つなぐ,to connect; to link together,false,
適用,てきよう,application (e.g. a technology); adoption,false,
推薦,すいせん,recommendation; endorsement,false,
全員,ぜんいん,all members; everyone,true,2024-11-06
感覚,かんかく,sensation; feeling,true,2024-11-16
ヘッドホン,ヘッドホン,headphone,false,
芽,め,sprout,false,
仲良い,なかいい,be friendly with,false,
万一,まんいち,emergency; unlikely event | by some chance,false,
日曜,にちよう,Sunday,false,
ディスカッション,ディスカッション,discussion,false,
係,かかり,person in charge; clerk,true,2024-11-05
宿泊,しゅくはく,lodging,true,2024-11-13
ビール,ビール,beer,false,
キャンセル,キャンセル,cancel,false,
ママ,ママ,mama; mother,false,
ゲーム,ゲーム,game,false,
サービス,サービス,service,false,
温暖,おんだん,warm; mild; temperate,false,
盛り,さかり,height (e.g. of summer); prime (of one's life),false,
通信販売,つうしんはんばい,mail order,true,2024-11-05
登山,とざん,mountain climbing,false,
首相,しゅしょう,Prime Minister; Chancellor,false,
我慢,がまん,tolerance; self-control,false,
短期,たんき,short-term,false,
オリンピック,オリンピック,Olympics,false,
節約,せつやく,economising; saving,false,
注文,ちゅうもん,order; request,false,
慎重,しんちょう,cautious; prudent,false,
舞台,ぶたい,stage (theatre),false,
沈む,しずむ,to sink; to go under,false,
装置,そうち,equipment; device,false,
現代,げんだい,nowadays; modern times,false,
指す,さす,to point; to specify; to select,true,2024-11-18
首都,しゅと,capital city,true,2024-11-12
誤解,ごかい,misunderstanding,false,
かご,かご,basket (shopping/etc.); hamper; case,false,
場面,ばめん,scene; setting (e.g. of novel),false,
建築,けんちく,construction; architecture,false,
効果的,こうかてき,effective; successful,false,
母親,ははおや,mother,false,
効果,こうか,effect; efficacy,true,2024-11-11
つまり,つまり,that is; in other words,false,
訳,わけ,reason; excuse,false,
大声,おおごえ,loud voice,false,
確かめる,たしかめる,to check; to confirm,false,
省く,はぶく,to omit; to exclude,false,
断る,ことわる,to decline; to refuse,false,
不思議,ふしぎ,wonder; miracle; strange,false,
限る,かぎる,to restrict; to limit,false,
望み,のぞみ,wish; desire,true,2024-11-19
出会い,であい,meeting; encounter,false,
順番,じゅんばん,order; sequential order,false,
修正,しゅうせい,amendment; correction; revision,false,
販売機,はんばいき,vending machine,false,
一致,いっち,coincidence; agreement,false,
市場（いちば）,いちば,market; marketplace (physical place),false,
順調,じゅんちょう,favourable; OK; all right,false,
真っ赤,まっか,bright red; deep red,false,
単なる,たんなる,mere; simple,true,2024-11-08
爆発,ばくはつ,explosion; detonation,false,
世紀,せいき,century; era,false,
修理,しゅうり,repair,false,
異なる,ことなる,to differ,false,
瓶,びん,bottle; jar,false,
旅,たび,trip; journey,false,
単位,たんい,unit; denomination,true,2024-11-08
上達,じょうたつ,improvement (e.g. in skill/ability); advance,false,
部分,ぶぶん,portion; section,false,
選手,せんしゅ,player; team member,false,
しわ,しわ,wrinkle,false,
支給,しきゅう,payment; allowance,false,
便り,たより,news; tidings; letter,false,
余裕,よゆう,surplus; leeway; flexibility,false,
冒険,ぼうけん,risk; venture,false,
さらに,さらに,furthermore; moreover,false,
離れる,はなれる,to be separated; to go away; to leave,false,
大統領,だいとうりょう,president (of a country),false,
分ける,わける,to divide; to split,true,2024-11-12
駐車,ちゅうしゃ,parking (e.g. car),false,
韓国語,かんこくご,Korean language,false,
影響,えいきょう,influence; effect,false,
観客,かんきゃく,spectator,true,2024-11-13
歓迎,かんげい,welcome; reception,false,
感心,かんしん,admiration; being impressed,true,2024-11-16
何も,なにも,nothing (with neg. verbs),false,
大使,たいし,ambassador,true,2024-11-12
銅貨,どうか,copper coin,false,
共同,きょうどう,co-operation; collaboration,false,
岩,いわ,rock; boulder,false,
負け,まけ,defeat; loss,false,
衝突,しょうとつ,collision; crash | conflict,false,
寄付,きふ,donation,true,2024-11-05
カフェ,カフェ,cafe; coffeehouse,false,
小包,こづつみ,(small) parcel; package,false,
区別,くべつ,distinction; classification,false,
さっぱり,さっぱり,feeling refreshed | completely; entirely,false,
正社員,せいしゃいん,full-time employee,false,
夜明け,よあけ,dawn; daybreak,false,
食卓,しょくたく,dining table,false,
不幸,ふこう,misfortune,false,
使用,しよう,use,false,
平均,へいきん,average; mean; balance; equilibrium,false,
一瞬,いっしゅん,instant; moment,false,
掴む,つかむ,to seize; to grasp; to grip,false,
ハム,ハム,ham,false,
支払う,しはらう,to pay,false,
計る,はかる,to measure; to weigh,false,
描く,えがく,to draw; to paint; to sketch,false,
わずか,わずか,only; merely; small quantity,false,
既に,すでに,already,false,
パリ,パリ,Paris,false,
満ちる,みちる,to be full; to mature; to expire,false,
真冬,まふゆ,midwinter,false,
嘘をつく,うそをつく,to (tell a) lie,false,
税金,ぜいきん,tax; duty,false,
納豆,なっとう,natto (fermented soybeans),false,
暮らし,くらし,living; life circumstances,false,
煙,けむり,smoke,false,
芸術,げいじゅつ,fine arts,false,
勝手に,かってに,selfishly/of one's own convenience,true,2024-11-07
プラス,プラス,plus; addition; positive,false,
クリーム,クリーム,cream,false,
攻撃,こうげき,attack; strike; offensive,false,
期待,きたい,expectation; anticipation,false,
画面,がめん,screen; picture,false,
平等,びょうどう,impartiality; evenness,false,
宗教,しゅうきょう,religion,false,
試し,ためし,trial; test,false,
元,もと,origin; source; foundation,true,2024-11-08
パスタ,パスタ,pasta,false,
新入社員,しんにゅうしゃいん,new employee,false,
出来事,できごと,incident; happening,false,
食欲,しょくよく,appetite (for food),true,2024-11-12
抵抗,ていこう,resistance; reluctance,false,
必死,ひっし,frantic; desperate,true,2024-11-15
ファッション,ファッション,fashion,false,
プライベート,プライベート,private,false,
気分が悪い,きぶんがわるい,not feeling well,false,
迎え,むかえ,meeting; greeting,false,
券,けん,ticket; coupon,false,
プレゼンテーション,プレゼンテーション,presentation,false,
喜び,よろこび,joy; delight,false,
疑う,うたがう,to doubt; to suspect,false,
王子,おうじ,prince,false,
まさに,まさに,exactly; certainly | right then; just then,false,
お互い,おたがい,mutual; reciprocal,false,
担当者,たんとうしゃ,person in charge; person responsible,true,2024-11-14
現れる,あらわれる,to appear; to become visible,false,
癖,くせ,habit; tendency; peculiarity,false,
王様,おうさま,king,false,
デート,デート,date,false,
叩く,たたく,to strike; to clap; to beat; to tap,false,
罪,つみ,crime; sin,false,
孫,まご,grandchild,false,
針,はり,needle; pin; stinger; thorn,false,
依頼,いらい,request; commission,false,
追い付く,おいつく,to catch up (with); to draw level; to get to even,true,2024-11-05
幅,はば,width; range; gap; difference,false,
今後,こんご,from now on,false,
こしょう,こしょう,pepper,false,
わざわざ,わざわざ,specially; especially; intentionally,false,
明らか,あきらか,obvious; evident; clear,false,
希望者,きぼうしゃ,applicant,true,2024-11-19
溶ける,とける,to melt; to thaw,false,
梅雨,つゆ,rainy season (early June to mid-July),false,
地球上,ちきゅうじょう,on the earth,false,
パス,パス,path; pass,false,
ストレスがたまる,ストレスがたまる,to build up stress,false,
ぴったり,ぴったり,tightly; closely; exactly; precisely,false,
いちご,いちご,strawberry,false,
お気に入り,おきにいり,favorite; bookmark (e.g. on a web browser),false,
台,だい,stand; rack,false,
～行き,～ゆき,bound for ～,false,
文,ぶん,sentence; text,false,
議長,ぎちょう,chairman; speaker (e.g. of assembly),false,
残す,のこす,to leave (behind/over),false,
隠れる,かくれる,to be hidden,false,
担当,たんとう,being in charge; being responsible for,true,2024-11-14
許可,きょか,permission; approval,false,
博物館,はくぶつかん,museum,false,
老人,ろうじん,old person,false,
なお,なお,furthermore; still,false,
横断,おうだん,crossing; traversing,false,
上司,じょうし,superior; boss,false,
便,びん,flight (e.g. airline flight),false,
活気,かっき,energy; liveliness,false,
お相撲さん,おすもうさん,sumowrestler,false,
居眠り,いねむり,nodding off (when sitting); dozing,false,
あらゆる,あらゆる,all; every,false,
どこか,どこか,somewhere; anywhere,false,
人工,じんこう,artificial; man-made,false,
配達,はいたつ,delivery; distribution,false,
そば,そば,beside; near,false,
味付け,あじつけ,flavoring/seasoning,true,2024-11-05
取れる,とれる,to come off; to be removed,true,2024-11-09
医療,いりょう,medical treatment,false,
昨年,さくねん,last year,true,2024-11-19
新製品,しんせいひん,new (manufactured) product,false,
終える,おえる,to finish,false,
退屈,たいくつ,tedium; boredom; dullness,false,
自殺,じさつ,suicide,false,
あちこち,あちこち,here and there; all around,false,
一家,いっか,a family; a household,false,
せいぜい,せいぜい,at the most; at best,false,
コアラ,コアラ,koala,false,
健康,けんこう,health,false,
事情,じじょう,circumstances,false,
成人,せいじん,adult,true,2024-11-16
刑事,けいじ,(police) detective,false,
記者,きしゃ,reporter,false,
感情,かんじょう,emotion; feelings,true,2024-11-06
日付,ひづけ,date,true,2024-11-05
コンタクトレンズ,コンタクトレンズ,contact lens,false,
営業時間,えいぎょうじかん,business hours,false,
診察,しんさつ,medical examination,true,2024-11-13
屋根,やね,roof,false,
貧しい,まずしい,poor; scanty; inadequate,false,
しかたない,しかたない,it can't be helped,false,
雰囲気,ふんいき,mood; ambience; atmosphere,false,
巨大,きょだい,huge; gigantic,false,
吠える,ほえる,to bark; to howl,false,
調子が悪い,ちょうしがわるい,feeling sick,false,
片手,かたて,one hand,false,
進歩,しんぽ,progress; improvement,false,
去る,さる,to leave; to go away,false,
額,ひたい,forehead; brow,false,
重要,じゅうよう,important; essential,false,
鳴き声,なきごえ,animal cry; roar; chirp; tweet,false,
違反,いはん,violation; offense,true,2024-11-08
平気,へいき,calmness; composure,false,
何か,なにか,something,false,
何とか,なんとか,somehow; anyhow,true,2024-11-18
うなぎ,うなぎ,eel,false,
徐々,じょじょ,gradually; steadily; little by little,false,
人間関係,にんげんかんけい,human relations,true,2024-11-05
訴える,うったえる,to raise; to bring to (someone's attention),false,
猿,さる,monkey,false,
週末,しゅうまつ,weekend,false,
示す,しめす,toshow; to demonstrate,false,
設計,せっけい,plan; design,false,
列車,れっしゃ,train,false,
うなる,うなる,to groan; to moan,false,
飛び出す,とびだす,to jump out; to rush out,false,
殺す,ころす,to kill,false,
大会,たいかい,convention; tournament,false,
若者,わかもの,young person,false,
主に,おもに,mainly,false,
木曜,もくよう,Thursday,false,
波,なみ,wave,false,
国会,こっかい,National Diet,false,
お茶会,おちゃかい,tea party,false,
患者,かんじゃ,(medical) patient,false,
トップ,トップ,top,false,
稼ぐ,かせぐ,to earn (income); to make (money),false,
論争,ろんそう,dispute; controversy,true,2024-11-04
心理,しんり,state of mind; psychology,false,
リットル,リットル,litre,false,
範囲,はんい,extent; scope,false,
誇り,ほこり,pride,false,
マスク,マスク,mask,false,
人物,じんぶつ,person,false,
父親,ちちおや,father,false,
次回,じかい,next time,false,
贅沢,ぜいたく,luxury; extravagance,false,
用心,ようじん,care; caution,false,
現す,あらわす,to represent; to stand for; to show; to display,false,
蜂,はち,bee,false,
万が一,まんがいち,in the unlikely event; in the worst case,false,
生物,せいぶつ,living thing; creature; life,false,
間違い,まちがい,mistake; error,false,
欠点,けってん,defect; flaw; weak point,false,
流れる,ながれる,to flow (liquid/time/etc.); to be washed away; to be broadcast; to circulate,false,
世の中,よのなか,society; the world,false,
劣る,おとる,to be inferior to,false,
掲示,けいじ,notice; bulletin,false,
～分の～,～ぶんの～,expresses a fraction/portion where the first ～ is the denominator,false,
制限,せいげん,restriction; limit,false,
国民,こくみん,people (of a country); citizen,false,
専攻,せんこう,major (in school or study); specialty,false,
ちゃんと,ちゃんと,seriously; properly; exactly,false,
恐れる,おそれる,to fear,false,
ベランダ,ベランダ,veranda; balcony,false,
灯,ひ,lamp; torch,false,
協力,きょうりょく,cooperation; collaboration,false,
起き上がる,おきあがる,to rise; to get up,false,
ミス,ミス,mistake,false,
おば,おば,aunty,false,
勝ち,かち,victory,true,2024-11-07
一生,いっしょう,whole life; a lifetime,false,
知能,ちのう,intelligence,false,
鉄道,てつどう,railroad; railway,false,
豆腐,とうふ,tofu; bean curd; beancurd,false,
鍋,なべ,pot,false,
この辺り,このあたり,this area; around here,false,
需要,じゅよう,demand; request,false,
満開,まんかい,full bloom,false,
表す,あらわす,to represent; to signify; to show; to display,false,
対象,たいしょう,target; object; scope,true,2024-11-13
生地,きじ,cloth; fabric; material,false,
貴重,きちょう,precious; valuable,false,
独立,どくりつ,independence; self-support,false,
活用,かつよう,practical use; application,false,
息,いき,breath,true,2024-11-15
しきりに,しきりに,frequently; repeatedly,false,
支える,ささえる,to support; to hold up,false,
大いに,おおいに,very; much; greatly; a lot of,false,
納得,なっとく,consent; agreement,false,
頂きます,いただきます,expression of gratitude before meals,false,
内容,ないよう,contents; substance; details,true,2024-11-06
不平,ふへい,discontent; dissatisfaction,false,
したがって,したがって,therefore; consequently,false,
金融,きんゆう,finance; financing,false,
祝い,いわい,congratulations,false,
相手,あいて,compaion; partner; other party,false,
咳,せき,cough,false,
無料,むりょう,free; no charge,false,
機械,きかい,machine; apparatus,true,2024-11-04
ソファー,ソファー,sofa,false,
残業,ざんぎょう,overtime (work),false,
取引先,とりひきさき,customer; client,true,2024-11-09
バレンタインデー,バレンタインデー,Valentine's Day,false,
外出,がいしゅつ,going out,false,
弁護士,べんごし,lawyer; attorney,false,
商店街,しょうてんがい,shopping area; shopping arcade,true,2024-11-11
乗客,じょうきゃく,passenger,true,2024-11-13
無駄,むだ,uselessness; pointlessness,false,
婚約,こんやく,engagement; betrothal,false,
出席率,しゅっせきりつ,attendance rate,true,2024-11-14
カード,カード,card,false,
お昼,おひる,lunch; noon break,false,
ホームステイ,ホームステイ,homestay,false,
気温,きおん,temperature (weather),false,
センター,センター,center,false,
土曜,どよう,Saturday,false,
優秀,ゆうしゅう,superiority; excellence,false,
土,つち,soil; dirt; mud,false,
スタイル,スタイル,figure; style,false,
じっと,じっと,intently; stoically; quietly,false,
試す,ためす,to test; to try out,false,
交通安全,こうつうあんぜん,traffic safety,true,2024-11-04
喉が乾く,のどがかわく,to be thirsty,false,
著者,ちょしゃ,author; writer,false,
住民,じゅうみん,inhabitant; resident,false,
バッグ,バッグ,bag,false,
なぜなら,なぜなら,because; the reason is,false,
常識,じょうしき,common sense,false,
説明書,せつめいしょ,instructions; manual,true,2024-11-09
定期,ていき,fixed period; fixed term,true,2024-11-12
長期,ちょうき,long-term,false,
支払い,しはらい,payment,false,
熱帯,ねったい,tropics,false,
ウイルスソフト,ウイルスソフト,anti-virus software,false,
鬼,おに,oni; ogre; demon,false,
傷,きず,wound; injury,false,
作曲,さっきょく,composition (of music),true,2024-11-19
勢い,いきおい,force; vigor; spirit,false,
滞在,たいざい,stay; sojourn,false,
届く,とどく,to be delivered,false,
非常,ひじょう,emergency | extraordinary; unusual,false,
成人式,せいじんしき,coming-of-age ceremony,true,2024-11-14
注目,ちゅうもく,notice; attention,false,
同一,どういつ,identical; equal,false,
会計,かいけい,accounting; finance,false,
破産,はさん,bankruptcy,false,
分野,ぶんや,field; area; realm,false,
太陽,たいよう,sun,false,
企業,きぎょう,corporation; business,false,
カロリー,カロリー,calorie,false,
訪問,ほうもん,call; visit,false,
塔,とう,tower; spire,false,
予防,よぼう,prevention,true,2024-11-04
たまたま,たまたま,casually; unexpectedly,false,
おまえ,おまえ,you (familiar person),false,
おる,おる,(hum) to be; to exist; keigo version of いる,false,
幸い,さいわい,happiness; fortune,false,
雇う,やとう,to employ; to hire,false,
～のせい,～のせい,～'s fault (negative meaning),false,
以前,いぜん,since; before; previous,false,
発見,はっけん,discovery; detection,false,
女子,じょし,girl,false,
通信,つうしん,correspondence; communication; transmission; signal,true,2024-11-05
身,み,body; oneself,false,
頬,ほほ,cheek (of face),false,
経由,けいゆ,through; by way of; via,false,
衛星,えいせい,satellite,false,
物音,ものおと,sounds,true,2024-11-18
横切る,よこぎる,to cross (e.g. road),false,
余分,よぶん,extra; excess,false,
天候,てんこう,weather,false,
めったに,めったに,rarely; seldom,false,
整理,せいり,putting in order; organization; adjustment; regulation,false,
嫁,よめ,(my) wife; bride,false,
障害,しょうがい,obstacle; handicap; disability,false,
現れ,あらわれ,manifestation; materialization; expression,false,
計算,けいさん,calculation,false,
人気,にんき,popularity,false,
マイク,マイク,(abbr) microphone,false,
競技,きょうぎ,game; match,false,
戦い,たたかい,battle; conflict,true,2024-11-16
表現,ひょうげん,expression; notation,false,
缶,かん,can; tin,false,
資源,しげん,resources,false,
承認,しょうにん,approval; consent,false,
不自由,ふじゆう,disability; impairment (physical/mental/etc.),false,
痛み,いたみ,pain; soreness,false,
県,けん,prefecture,false,
虎,とら,tiger,false,
